chrom	start	end
chr1	1	249250621
chr2	1	243199373
chr3	1	198022430
chr4	1	191154276
chr5	1	180915260
chr6	1	171115067
chr7	1	159138663
chrX	1	155270560
chr8	1	146364022
chr9	1	141213431
chr10	1	135534747
chr11	1	135006516
chr12	1	133851895
chr13	1	115169878
chr14	1	107349540
chr15	1	102531392
chr16	1	90354753
chr17	1	81195210
chr18	1	78077248
chr20	1	63025520
chrY	1	59373566
chr19	1	59128983
chr22	1	51304566
chr21	1	48129895
chr1_jh636052_fix	1	7283150
chrX_jh806600_fix	1	6530008
chr6_ssto_hap7	1	4928567
chr6_mcf_hap5	1	4833398
chr6_cox_hap2	1	4795371
chr6_mann_hap4	1	4683263
chr6_apd_hap1	1	4622290
chr6_qbl_hap6	1	4611984
chr6_dbb_hap3	1	4610396
chrX_jh806587_fix	1	4110759
chr7_jh159134_fix	1	3821770
chrX_jh159150_fix	1	3110903
chrX_jh806590_fix	1	2418393
chr10_jh591181_fix	1	2281126
chr17_ctg5_hap1	1	1680828
chr1_jh636053_fix	1	1676126
chr5_gl339449_alt	1	1612928
chr14_kb021645_fix	1	1523386
chrX_jh720453_fix	1	1461188
chrX_jh806601_fix	1	1389764
chr7_gl582971_fix	1	1284284
chrX_jh806599_fix	1	1214327
chr19_gl949749_alt	1	1091840
chr19_gl949750_alt	1	1066389
chr19_gl949748_alt	1	1064303
chr19_kb021647_fix	1	1058686
chrX_jh806597_fix	1	1045622
chr10_ke332501_fix	1	1020827
chr19_gl949751_alt	1	1002682
chr19_gl949746_alt	1	987716
chr19_gl949752_alt	1	987100
chrX_jh806598_fix	1	899320
chrX_jh720451_fix	1	898979
chrX_jh806591_fix	1	882083
chr11_jh806581_fix	1	872115
chrX_jh806588_fix	1	862483
chrX_jh806592_fix	1	835911
chr19_gl949753_alt	1	796478
chr1_jh636054_fix	1	758378
chrX_jh720454_fix	1	752267
chr19_gl949747_alt	1	729519
chr7_jh636058_fix	1	716227
chrX_jh806602_fix	1	713266
chr17_gl383561_fix	1	644425
chr8_gl949743_fix	1	608579
chr2_kb663603_fix	1	599580
chr4_ctg9_hap1	1	590426
chr19_gl582977_fix	1	580393
chr19_ke332505_fix	1	579598
chr1_gl000192_random	1	547496
chr11_jh159140_fix	1	546435
chr5_ke332497_fix	1	543325
chr17_gl383560_fix	1	534288
chrX_jh720452_fix	1	522319
chr4_ke332496_fix	1	503215
chr6_kb663604_fix	1	478993
chrX_kb021648_fix	1	469972
chr11_jh591184_fix	1	462282
chr17_gl383558_fix	1	457041
chr17_jh720447_fix	1	454385
chrX_jh806595_fix	1	444074
chr10_jh636060_fix	1	437946
chr8_gl383535_fix	1	429806
chrX_jh806596_fix	1	413927
chr17_gl582976_fix	1	412535
chr11_jh720443_fix	1	408430
chr12_gl877876_alt	1	408271
chr3_jh159131_fix	1	393769
chr10_gl383543_fix	1	392792
chrX_jh806594_fix	1	390496
chr2_gl877871_fix	1	389939
chrX_jh806593_fix	1	389631
chr15_gl383555_alt	1	388773
chr17_jh159144_fix	1	388340
chr19_gl383573_alt	1	385657
chr17_jh591186_fix	1	376223
chr4_gl383528_alt	1	376187
chr12_gl949745_alt	1	372609
chr1_gl383520_alt	1	366579
chr7_gl582968_fix	1	356330
chr7_gl582970_fix	1	354970
chr17_jh806582_fix	1	342635
chr17_ke332502_fix	1	341712
chr17_gl383559_fix	1	338640
chr12_kb663607_fix	1	334922
chr9_gl339450_fix	1	330164
chr7_gl582972_fix	1	327774
chr11_jh159142_fix	1	326647
chr11_gl582973_fix	1	321004
chr10_gl383546_alt	1	309802
chr21_ke332506_fix	1	307252
chr10_kb663606_fix	1	305900
chr4_gl877872_fix	1	297485
chr15_gl383554_alt	1	296527
chr9_jh636059_fix	1	295379
chr18_gl383567_alt	1	289831
chrX_gl877877_fix	1	284527
chr20_kb663608_fix	1	283551
chr17_jh159146_alt	1	278131
chr11_gl949744_fix	1	276448
chr7_ke332499_fix	1	274521
chr6_jh806576_fix	1	273386
chr12_jh720444_fix	1	273128
chrX_jh806589_fix	1	270630
chr17_gl383563_alt	1	270261
chr5_jh159133_fix	1	266316
chr3_ke332495_fix	1	263861
chr6_jh636056_fix	1	262912
chr7_gl582969_fix	1	251823
chr4_gl582967_fix	1	248177
chr19_jh159149_fix	1	245473
