chrom	start	end
chr1	1	195471971
chr2	1	182113224
chrX	1	171031299
chr3	1	160039680
chr4	1	156508116
chr5	1	151834684
chr6	1	149736546
chr7	1	145441459
chr10	1	130694993
chr8	1	129401213
chr14	1	124902244
chr9	1	124595110
chr11	1	122082543
chr13	1	120421639
chr12	1	120129022
chr15	1	104043685
chr16	1	98207768
chr17	1	94987271
chrY	1	91744698
chr18	1	90702639
chr19	1	61431566
chr6_GL456054_alt	1	5956088
chr17_JH584266_alt	1	4910976
chr17_JH584328_alt	1	4256209
chr1_JH584321_alt	1	3760957
chr4_GL456053_alt	1	3205425
chr11_JH584265_alt	1	3086744
chr4_JH584324_alt	1	3050841
chr17_GL456022_alt	1	1934410
chr17_JH584267_alt	1	1908920
chr6_JH584264_alt	1	1759414
chr12_GL456017_alt	1	1714434
chr14_GL456019_alt	1	1666365
chr4_JH584326_alt	1	1625541
chr16_GL456001_alt	1	1618162
chr11_JH584327_alt	1	1550185
chr11_GL456060_alt	1	1462311
chr5_KV575237_fix	1	1224174
chr17_JH590470_alt	1	1154078
chr3_JH584323_alt	1	1153325
chr17_KB469742_fix	1	1059955
chr1_JH584320_alt	1	1003859
chr5_JH584299_random	1	953012
chr4_KZ289069_fix	1	709099
chr3_GL456042_alt	1	689363
chr1_KV575234_fix	1	686942
chr17_KZ289089_fix	1	662433
chr6_GL456026_alt	1	636141
chr6_KK082443_fix	1	620323
chr4_KZ289067_fix	1	583977
chrY_JH792832_fix	1	544189
chr15_KZ289086_fix	1	542789
chr4_KZ289068_fix	1	532572
chr19_KQ030494_fix	1	506812
chr16_KB469741_fix	1	505876
chrX_KQ030495_fix	1	490000
chr16_JH584306_alt	1	480699
chr7_JH792828_fix	1	473738
chr3_GL456044_alt	1	466430
chrX_KZ289092_fix	1	460895
chr1_KK082441_alt	1	456798
chr18_KZ289091_fix	1	448905
chr10_KZ289072_fix	1	425386
chr15_KQ030493_fix	1	423369
chrX_GL456003_alt	1	414761
chr7_KV575238_fix	1	414410
chr2_GL456024_alt	1	410905
chr4_KQ030486_fix	1	399265
chr11_KZ289080_alt	1	394982
chr11_KZ289074_alt	1	394026
chr11_KZ289078_alt	1	390920
chr15_KZ289085_fix	1	380404
chr4_KZ289070_fix	1	378870
chr16_JH584313_alt	1	374389
chr11_KZ289081_alt	1	369973
chr11_KZ289079_alt	1	368967
chr4_JH792826_fix	1	368286
chr10_KZ289071_fix	1	355613
chr18_JH792829_fix	1	352455
chr3_KZ289066_fix	1	339234
chrX_GL456233_random	1	336933
chrY_JH792834_fix	1	331480
chr11_KB469739_fix	1	331111
chr17_KZ289088_fix	1	328684
chr1_JH584322_alt	1	326027
chr11_KZ289075_alt	1	322221
chr3_GL456006_alt	1	320308
chr11_KZ289076_fix	1	318915
chr4_KQ030487_fix	1	316842
chr12_KB469740_fix	1	316140
chr6_GL456012_alt	1	312568
chrX_KZ289095_fix	1	305464
chr19_KV575242_fix	1	299789
chr3_GL456048_alt	1	292416
chr17_GL456002_alt	1	285971
chr4_JH584269_alt	1	284739
chr14_KZ289084_fix	1	283434
chr1_GL455991_alt	1	281255
chr17_JH584308_alt	1	273566
chr3_GL456007_alt	1	273369
chr1_GL455993_alt	1	272653
chr1_KV575233_fix	1	266016
chr4_GL456075_alt	1	264822
chr18_KZ289090_fix	1	263917
chr5_GL455995_alt	1	262166
chr16_JH584310_alt	1	261336
chrX_KQ030496_fix	1	260447
chrY_JH584301_random	1	259875
chr17_KZ289087_fix	1	253113
chr8_GL455997_alt	1	251056
