chrom	start	end	name	gie_stain
chr1	0	10704345	p13	gneg
chr1	10704345	25618263	p12	gvar
chr1	25618263	40652454	p11	gneg
chr1	40652454	51356799	q11	gpos
chr1	51356799	73607402	q12	gneg
chr1	73607402	95016091	q21	gpos
chr1	95016091	130617056	q22	gneg
chr1	130617056	149018906	q31	gpos
chr1	149018906	171269510	q32	gneg
chr1	171269510	179929204	q33	gpos
chr1	179929204	184138778	q34	gneg
chr1	184138778	189791634	q35	gpos
chr1	189791634	198331054	q36	gneg
chr1	198331054	201337893	q37	gpos
chr1	201337893	216251810	q41	gneg
chr1	216251810	218897828	q42	gpos
chr1	218897828	235615849	q43	gneg
chr1	235615849	244155270	q51	gpos
chr1	244155270	252694691	q52	gneg
chr1	252694691	259189461	q53	gpos
chr1	259189461	267728882	q54	gneg
chr1	267728882	282763074	q55	gvar
chr10	0	6362541	q11	gpos
chr10	6362541	26684687	q12	gneg
chr10	26684687	35421310	q21	gpos
chr10	35421310	48336319	q22	gneg
chr10	48336319	50710401	q23	gpos
chr10	50710401	64859932	q24	gneg
chr10	64859932	67613868	q25	gpos
chr10	67613868	84517335	q26	gneg
chr10	84517335	89550389	q31	gpos
chr10	89550389	105504223	q32.1	gneg
chr10	105504223	107213563	q32.2	gpos
chr10	107213563	112626471	q32.3	gneg
chr10_AABR07050850v1_random	0	548		gneg
chr10_AABR07050887v1_random	0	1962		gneg
chr10_AABR07050894v1_random	0	590		gneg
chr10_KL568008v1_random	0	2704		gneg
chr10_KL568009v1_random	0	27282		gneg
chr10_KL568010v1_random	0	28524		gneg
chr10_KL568011v1_random	0	24114		gneg
chr10_KL568012v1_random	0	22748		gneg
chr10_KL568013v1_random	0	5986		gneg
chr10_KL568014v1_random	0	8466		gneg
chr10_KL568015v1_random	0	15525		gneg
chr10_KL568016v1_random	0	26063		gneg
chr10_KL568017v1_random	0	16434		gneg
chr10_KL568018v1_random	0	29483		gneg
chr11	0	6862108	p12	gneg
chr11	6862108	15463905	p11	gpos
chr11	15463905	37789917	q11	gpos
chr11	37789917	49871093	q12	gneg
chr11	49871093	66978037	q21	gpos
chr11	66978037	79059213	q22	gneg
chr11	79059213	90463843	q23	gvar
chr11_AABR07050811v1_random	0	917		gneg
chr11_AABR07050815v1_random	0	1204		gneg
chr11_AABR07050825v1_random	0	1274		gneg
chr11_KL568019v1_random	0	48508		gneg
chr11_KL568020v1_random	0	24193		gneg
chr11_KL568021v1_random	0	24537		gneg
